Store_Name,lng,lat,Address,Address Line #2,City,State,Zip5,Zip4,County
"TONY'S MARKET, INC.",-70.564011,41.449062,"DUKES COUNTY AVE","","OAK BLUFFS","MA","02557","","DUKES"
"JACKS VARIETY",-71.796066,42.24485,"140 Vernon St","","Worcester","MA","01610","2157","WORCESTER"
"CONVENIENCE STATION",-71.079689,42.779758,"105 White St","","Haverhill","MA","01830","5728","ESSEX"
"WALMART 2329",-72.284576,42.586807,"555 E Main St","","Orange","MA","01364","9515","FRANKLIN"
"WALMART 2267",-71.784637,42.353699,"137 W Boylston St","","West Boylston","MA","01583","1713","WORCESTER"
"WALMART 2174",-72.706352,42.108604,"141 Springfield Rd","","Westfield","MA","01085","1819","HAMPDEN"
"WALMART 2103",-71.216042,42.146526,"550 Providence Hwy","","Walpole","MA","02081","4231","NORFOLK"
"WALMART 2095",-70.662239,41.759094,"3005 Cranberry Hwy","","East Wareham","MA","02538","1354","PLYMOUTH"
"WALMART 1970",-71.562386,42.373035,"280 Washington St","","Hudson","MA","01749","2735","MIDDLESEX"
"GEMELAS MARKET",-71.153374,42.709881,"54 Union St","","Lawrence","MA","01840","1818","ESSEX"
"A ARENA & SONS INC",-71.497734,42.214516,"159 Ash St","","Hopkinton","MA","01748","1903","MIDDLESEX"
"AMERICAN GROCERY",-71.07972,42.785404,"426 Main St","","Haverhill","MA","01830","3315","ESSEX"
"ORTEGAS MARKET",-71.811295,42.264011,"260 Pleasant St","","Worcester","MA","01609","2022","WORCESTER"
"NEW CORNER VARIETY",-72.611031,42.182827,"1175 Grattan St","","Chicopee","MA","01013","2761","HAMPDEN"
"SPRING FOOD MART",-72.493835,42.158363,"345 Main St","","Indian Orchard","MA","01151","1214","HAMPDEN"
"A1 MART",-72.036064,42.070541,"179 Elm St","","Southbridge","MA","01550","2641","WORCESTER"
"COMPARE SUPERMARKET",-70.939568,42.475399,"2A Adams Street Ext","","Lynn","MA","01902","","ESSEX"
"Lincoln Avenue Market",-70.990112,42.455048,"84 Lincoln Ave","","Saugus","MA","01906","2833","ESSEX"
"BUNKER HILL GROCERY",-71.061829,42.378681,"190 Bunker Hill St","","Charlestown","MA","02129","2539","SUFFOLK"
"GRAMPYS CORNER STORE",-71.091766,41.898026,"165 High St","","Taunton","MA","02780","3535","BRISTOL"
"L & M CONVENIENCE STORE",-71.062912,42.423313,"230 Ferry St","","Malden","MA","02148","7125","MIDDLESEX"
"CAMILO MARKET",-71.10157,42.322842,"280 Centre St","","Jamaica Plain","MA","02130","1669","SUFFOLK"
"DALTON AVENUE VARIETY",-73.23027,42.457287,"71 Dalton Ave","","Pittsfield","MA","01201","3596","BERKSHIRE"
"CORNER STORE OF BHA",-71.087921,42.295441,"867 Blue Hill Ave","","Dorchester Center","MA","02124","1605","SUFFOLK"
"EDGEMARY USA MINIMART",-71.826347,42.243622,"118 Cambridge St","Ste 3","Worcester","MA","01603","2370","WORCESTER"
"FITCHBURG VARIETY",-71.781693,42.566029,"938 Water St","","Fitchburg","MA","01420","6363","WORCESTER"
"WALGREENS 03548",-71.100182,42.487152,"225 Main St","","Stoneham","MA","02180","1252","MIDDLESEX"
"WALGREENS 05756",-71.039032,42.374447,"1 Central Sq","","East Boston","MA","02128","1911","SUFFOLK"
"COUNTRY CONVENIENCE",-70.917336,42.011505,"210 Pond St","","East Bridgewater","MA","02333","2233","PLYMOUTH"
"GINAS GROCERY",-71.079361,42.328503,"251 Dudley St","","Roxbury","MA","02119","2504","SUFFOLK"
"walgreens 02325",-70.960342,42.486073,"290 Broadway","","Lynn","MA","01904","1806","ESSEX"
"LA MINITA DE KELSEY",-72.567291,42.115299,"154 Catharine St","","Springfield","MA","01109","3508","HAMPDEN"
"Walgreens 06295",-70.947372,42.546734,"229 Andover St","Ste 1","Peabody","MA","01960","1538","ESSEX"
"Walgreens 04595",-70.909241,42.518925,"59 Boston St","","Salem","MA","01970","2145","ESSEX"
"Walgreens 07617",-71.116783,42.772915,"800 River St","","Haverhill","MA","01832","3612","ESSEX"
"NORTH HAMPTON MARKET",-72.631386,42.315887,"48 Old South St","","Northampton","MA","01060","3835","HAMPSHIRE"
"Butchery",-70.95929,42.59642,"182 North St","","Danvers","MA","01923","1242","ESSEX"
"QUALITY MART",-72.515205,42.094303,"1352 Allen St","","Springfield","MA","01118","2526","HAMPDEN"
"ELMA FOOD MARKET",-71.047569,42.405575,"44B Ferry St","","Everett","MA","02149","4933","MIDDLESEX"
"7-ELEVEN 33486B",-71.093109,42.363819,"600 Technology Sq","","Cambridge","MA","02139","3591","MIDDLESEX"
"AMY'S CONVENIENCE STORE",-71.403847,42.32613,"68 Water St","","Framingham","MA","01701","3480","MIDDLESEX"
"STOP QUICK MARKET",-71.191162,42.70433,"12 Haverhill St","","Methuen","MA","01844","4220","ESSEX"
"MARLBORO CITGO",-71.542641,42.342216,"146 Maple St","","Marlborough","MA","01752","3234","MIDDLESEX"
"EZEE MART",-72.628639,42.0924,"83 River St","","West Springfield","MA","01089","3616","HAMPDEN"
"WHOLE FOODS MARKET 10222",-70.902718,42.481483,"331 Paradise Rd","","Swampscott","MA","01907","2928","ESSEX"
"SUPER STOP & SHOP 011",-71.00148,42.400757,"40 Furlong Dr","","Revere","MA","02151","4006","SUFFOLK"
"AGAWAM MOBIL 458",-72.615181,42.071716,"6 Lealand Ave","","Agawam","MA","01001","","HAMPDEN"
"SUPER JOHN'S MARKET",-72.598167,42.592777,"146 Federal St","","Greenfield","MA","01301","2511","FRANKLIN"
"HESS EXPRESS 21507",-71.177902,42.716885,"615 Broadway","","Lawrence","MA","01841","2404","ESSEX"
"Hess 21207",-71.153046,42.689182,"500 S Union St","","Lawrence","MA","01843","2812","ESSEX"
"Richdale Dairy",-71.070023,42.452187,"54 W Wyoming Ave","","Melrose","MA","02176","3745","MIDDLESEX"
"ROSI'S MARKET",-71.038971,42.368542,"232 Sumner St","","Boston","MA","02128","2338","SUFFOLK"
"EASY CONVENIENCE & DELI",-71.234573,42.375523,"26 Elm St","","Waltham","MA","02453","5360","MIDDLESEX"
"7-ELEVEN 33466B",-71.142754,42.34343,"1610 Commonwealth Ave","","Brighton","MA","02135","5001","SUFFOLK"
